codigo,nombre,comentario
28079001, Pº. Recoletos,Baja.- 04/05/2009 (14:00 h.)s
28079002,Glta. de Carlos V, Baja.- 04/12/2006 (11:00 h.)
28079003, Pza. del Carmen
28079035, Pza. del Carmen, * Código desde enero 2011
28079004, Pza. de España
28079005,Barrio del Pilar
28079039,Barrio del Pilar,  * Código desde enero 2011
28079006,Pza. Dr. Marañón, Baja.- 27/11/2009 (08:00 h.)
28079007,Pza. M. de Salamanca, Baja.- 30/12/2009 (14:00 h.)
28079008,Escuelas Aguirre
28079009,Pza. Luca de Tena Baja.- 07/12/2009 (08:00 h.)
28079010,Cuatro Caminos
28079038, Cuatro Caminos ,* Código desde enero 2011
28079011,Av. Ramón y Cajal
28079012,Pza. Manuel Becerra, Baja.- 30/12/2009 (14:00 h.)
28079013,Vallecas
28079040,Vallecas, * Código desde enero 2011
28079014,Pza. Fdez. Ladreda, Baja.- 02/12/2009 (09:00 h.)
28079015,Pza. Castilla, Baja.- 17/10/2008 (11:00 h.)
28079016,Arturo Soria
28079017,Villaverde Alto
28079018,C/ Farolillo
28079019,Huerta Castañeda, Baja.- 30/12/2009 (13:00 h.)
28079020,Moratalaz
28079036,Moratalaz * Código desde enero 2011
28079021,Pza. Cristo Rey, Baja.- 04/12/2009 (14:00 h.)
28079022,Pº. Pontones, Baja.- 20/11/2009 (10:00 h.)
28079023,Final C/ Alcalá, Baja.- 30/12/2009 (14:00 h.)
28079024,Casa de Campo
28079025,Santa Eugenia, Baja.- 16/11/2009 (10:00 h.)
28079026,Urb. Embajada (Barajas), Baja.- 11/01/2010 (09:00 h.)
28079027,Barajas
28079047,Méndez Álvaro, Alta.- 21/12/2009 (00:00 h.)
28079048,Pº. Castellana, Alta.- 01/06/2010 (00:00 h.)
28079049,Retiro, Alta.- 01/01/2010 (00:00 h.)
28079050,Pza. Castilla, Alta.- 08/02/2010 (00:00 h.)
28079054,Ensanche Vallecas, Alta.- 11/12/2009 (00:00 h.)
28079055,Urb. Embajada (Barajas), Alta.- 20/01/2010 (15:00 h.)
28079056,Pza. Fdez. Ladreda, Alta.- 18/01/2010 (12:00 h.)
28079057,Sanchinarro, Alta.- 24/11/2009 (00:00 h.)
28079058,El Pardo, Alta.- 30/11/2009 (13:00 h.)
28079059,Parque Juan Carlos I, Alta.- 14/12/2009 (00:00 h.)
28079086,Tres Olivos
28079060,Tres Olivos, Alta.- 14/01/2010 (13:00 h.)
28079099, RED.- Media de todas las estaciones
